Version,Threads,Time,Speedup,Efficiency,MFLOPS
V1_Barrier,1,0.024000,1.00,100.00,1999.99
V2_Static_Nowait,1,0.025000,0.96,96.00,1920.01
V3_ThreadLocal,1,0.019000,1.26,126.32,2526.31
V1_Barrier,2,0.018000,1.33,66.67,2666.65
V2_Static_Nowait,2,0.019000,1.26,63.16,2526.34
V3_ThreadLocal,2,0.013000,1.85,92.31,3692.30
V1_Barrier,4,0.016000,1.50,37.50,2999.99
V2_Static_Nowait,4,0.015000,1.60,40.00,3199.98
V3_ThreadLocal,4,0.011000,2.18,54.55,4363.67
V1_Barrier,8,0.013000,1.85,23.08,3692.30
V2_Static_Nowait,8,0.013000,1.85,23.08,3692.30
V3_ThreadLocal,8,0.013000,1.85,23.08,3692.30
V1_Barrier,16,0.013000,1.85,11.54,3692.30
V2_Static_Nowait,16,0.012000,2.00,12.50,3999.97
V3_ThreadLocal,16,0.011000,2.18,13.64,4363.67
