Version,Processes,Size,Time
Serial,1,1000,0.004498
Parallel,2,1000,0.004860
Parallel,4,1000,0.004975
Parallel,8,1000,0.004061
Parallel,16,1000,0.005344
Parallel,32,1000,0.009264
Parallel,55,1000,0.104104
Serial,1,2000,0.021589
Parallel,2,2000,0.020963
Parallel,4,2000,0.020412
Parallel,8,2000,0.072756
Parallel,16,2000,0.101838
Parallel,32,2000,0.209979
Parallel,55,2000,0.601313
Serial,1,3000,0.050790
Parallel,2,3000,0.053161
Parallel,4,3000,0.054792
Parallel,8,3000,0.093037
Parallel,16,3000,0.205438
Parallel,32,3000,0.595384
Parallel,55,3000,1.197979
