Processes,Samples,Time,FinalLoss,Epochs
1,5000,0.012506,0.009927,430
2,5000,0.006853,0.009927,430
4,5000,0.004679,0.009927,430
8,5000,0.005927,0.009927,430
16,5000,0.006050,0.009927,430
32,5000,0.138489,0.009927,430
1,10000,0.025070,0.009961,429
2,10000,0.013406,0.009961,429
4,10000,0.007550,0.009961,429
8,10000,0.008728,0.009961,429
16,10000,0.008217,0.009961,429
32,10000,0.105322,0.009961,429
1,20000,0.048790,0.009989,423
2,20000,0.025915,0.009989,423
4,20000,0.014120,0.009989,423
8,20000,0.014220,0.009989,423
16,20000,0.010013,0.009989,423
32,20000,0.204063,0.009989,423
